"movie,year,metascore,imdb,tmeter,audience,fandango,n_metascore,n_imdb,n_tmeter,n_audience,nr_metascore,nr_imdb,nr_tmeter,nr_audience,decade,composite_score,metascore_imdb_diff"
"Max Steel,2016,22,4.6,0,38,3.5,1.1,2.3,0.0,1.9,1.0,2.5,0.0,2.0,2010,1.325,-24.0"
"Me Before You,2016,51,7.4,58,73,4.5,2.55,3.7,2.9,3.65,2.5,3.5,3.0,3.5,2010,3.2,-23.0"
"Mechanic: Resurrection,2016,38,5.6,29,41,4.0,1.9,2.8,1.45,2.05,2.0,3.0,1.5,2.0,2010,2.05,-18.0"
"Midnight Special,2016,76,6.7,83,68,3.5,3.8,3.35,4.15,3.4,4.0,3.5,4.0,3.5,2010,3.6750000000000003,9.0"
"Mike and Dave Need Wedding Dates,2016,51,6.0,35,53,4.0,2.55,3.0,1.75,2.65,2.5,3.0,2.0,2.5,2010,2.4875,-9.0"
"Miracles from Heaven,2016,44,7.0,43,81,4.5,2.2,3.5,2.15,4.05,2.0,3.5,2.0,4.0,2010,2.9749999999999996,-26.0"
"Misconduct,2016,24,5.3,7,24,3.0,1.2,2.65,0.35,1.2,1.0,2.5,0.5,1.0,2010,1.3499999999999999,-29.0"
"Miss Peregrine's Home for Peculiar Children,2016,57,6.8,64,61,4.0,2.85,3.4,3.2,3.05,3.0,3.5,3.0,3.0,2010,3.125,-11.0"
"Moana,2016,81,7.7,95,90,4.5,4.05,3.85,4.75,4.5,4.0,4.0,5.0,4.5,2010,4.2875,4.0"
"Money Monster,2016,55,6.5,57,51,4.0,2.75,3.25,2.85,2.55,3.0,3.0,3.0,2.5,2010,2.8499999999999996,-10.0"
"Moonlight,2016,99,7.6,97,81,4.0,4.95,3.8,4.85,4.05,5.0,4.0,5.0,4.0,2010,4.4125,23.0"
"Morgan,2016,48,5.8,40,30,3.5,2.4,2.9,2.0,1.5,2.5,3.0,2.0,1.5,2010,2.2,-10.0"
"Mr. Church,2016,37,7.7,15,80,4.5,1.85,3.85,0.75,4.0,2.0,4.0,1.0,4.0,2010,2.6125,-40.0"
"My Big Fat Greek Wedding 2,2016,37,6.0,29,54,4.0,1.85,3.0,1.45,2.7,2.0,3.0,1.5,2.5,2010,2.25,-23.0"
"Neighbors 2: Sorority Rising,2016,58,5.7,62,45,3.5,2.9,2.85,3.1,2.25,3.0,3.0,3.0,2.0,2010,2.775,1.0"
"Nerve,2016,58,6.6,66,68,4.0,2.9,3.3,3.3,3.4,3.0,3.5,3.5,3.5,2010,3.225,-8.0"
"Nine Lives,2016,11,5.3,11,42,4.0,0.55,2.65,0.55,2.1,0.5,2.5,0.5,2.0,2010,1.4625,-42.0"
"Nocturnal Animals,2016,67,7.5,73,74,3.5,3.35,3.75,3.65,3.7,3.5,4.0,3.5,3.5,2010,3.6125,-8.0"
"Norm of the North,2016,21,3.7,8,22,3.0,1.05,1.85,0.4,1.1,1.0,2.0,0.5,1.0,2010,1.1,-16.0"
"Now You See Me 2,2016,46,6.5,34,54,4.0,2.3,3.25,1.7,2.7,2.5,3.0,1.5,2.5,2010,2.4875,-19.0"
"Office Christmas Party,2016,42,5.9,41,43,3.5,2.1,2.95,2.05,2.15,2.0,3.0,2.0,2.0,2010,2.3125,-17.0"
"Ouija: Origin of Evil,2016,65,6.1,82,58,3.5,3.25,3.05,4.1,2.9,3.0,3.0,4.0,3.0,2010,3.3249999999999997,4.0"
"Our Kind of Traitor,2016,57,6.2,71,51,3.5,2.85,3.1,3.55,2.55,3.0,3.0,3.5,2.5,2010,3.0125,-5.0"
"Passengers,2016,41,7.0,31,64,4.0,2.05,3.5,1.55,3.2,2.0,3.5,1.5,3.0,2010,2.575,-29.0"
"Patriots Day,2016,69,7.5,80,88,4.5,3.45,3.75,4.0,4.4,3.5,4.0,4.0,4.5,2010,3.9,-6.0"
"Pele: Birth of a Legened,2016,39,7.3,22,69,4.5,1.95,3.65,1.1,3.45,2.0,3.5,1.0,3.5,2010,2.5374999999999996,-34.0"
"Pete's Dragon,2016,71,6.8,87,75,4.5,3.55,3.4,4.35,3.75,3.5,3.5,4.5,4.0,2010,3.7624999999999997,3.0"
"Precious Cargo,2016,27,4.6,0,21,3.0,1.35,2.3,0.0,1.05,1.5,2.5,0.0,1.0,2010,1.175,-19.0"
"Pride and Prejudice and Zombies,2016,45,5.8,43,45,4.0,2.25,2.9,2.15,2.25,2.0,3.0,2.0,2.0,2010,2.3875,-13.0"
"Race,2016,56,7.1,60,77,4.5,2.8,3.55,3.0,3.85,3.0,3.5,3.0,4.0,2010,3.3,-15.0"
"Resident Evil: The Final Chapter,2016,49,5.8,33,58,4.0,2.45,2.9,1.65,2.9,2.5,3.0,1.5,3.0,2010,2.475,-9.0"
"Ride Along 2,2016,32,5.9,14,49,4.0,1.6,2.95,0.7,2.45,1.5,3.0,0.5,2.5,2010,1.9250000000000003,-27.0"
"Rings,2017,25,4.5,6,28,3.0,1.25,2.25,0.3,1.4,1.0,2.0,0.5,1.5,2010,1.2999999999999998,-20.0"
"Risen,2016,51,6.3,51,70,4.5,2.55,3.15,2.55,3.5,2.5,3.0,2.5,3.5,2010,2.9375,-12.0"
"Rogue One: A Star Wars Story,2016,65,8.0,85,88,4.5,3.25,4.0,4.25,4.4,3.0,4.0,4.0,4.5,2010,3.975,-15.0"
"Sausage Party,2016,66,6.3,83,52,3.5,3.3,3.15,4.15,2.6,3.5,3.0,4.0,2.5,2010,3.3,3.0"
"Shut In,2016,25,4.6,6,22,3.0,1.25,2.3,0.3,1.1,1.0,2.5,0.5,1.0,2010,1.2374999999999998,-21.0"
"Sing,2016,59,7.2,73,74,4.5,2.95,3.6,3.65,3.7,3.0,3.5,3.5,3.5,2010,3.4750000000000005,-13.0"
"Sing Street,2016,79,8.0,96,93,4.5,3.95,4.0,4.8,4.65,4.0,4.0,5.0,4.5,2010,4.35,-1.0"
"Skiptrace,2016,50,5.6,36,26,3.5,2.5,2.8,1.8,1.3,2.5,3.0,2.0,1.5,2010,2.1,-6.0"
"Sleepless,2017,33,5.5,18,49,4.0,1.65,2.75,0.9,2.45,1.5,3.0,1.0,2.5,2010,1.9375000000000002,-22.0"
"Snowden,2016,58,7.3,61,72,4.0,2.9,3.65,3.05,3.6,3.0,3.5,3.0,3.5,2010,3.3,-15.0"
"Split,2016,62,7.5,76,81,4.0,3.1,3.75,3.8,4.05,3.0,4.0,4.0,4.0,2010,3.675,-13.0"
"Star Trek Beyond,2016,68,7.1,84,81,4.5,3.4,3.55,4.2,4.05,3.5,3.5,4.0,4.0,2010,3.8,-3.0"
"Storks,2016,56,6.9,63,63,4.5,2.8,3.45,3.15,3.15,3.0,3.5,3.0,3.0,2010,3.1375,-13.0"
"Suicide Squad,2016,40,6.3,26,63,4.0,2.0,3.15,1.3,3.15,2.0,3.0,1.5,3.0,2010,2.4,-23.0"
"Sully,2016,74,7.5,85,85,4.5,3.7,3.75,4.25,4.25,3.5,4.0,4.0,4.0,2010,3.9875,-1.0"
"Swiss Army Man,2016,64,7.1,69,73,4.0,3.2,3.55,3.45,3.65,3.0,3.5,3.5,3.5,2010,3.4625,-7.0"
"T2 Trainspotting,2017,64,7.7,76,85,4.5,3.2,3.85,3.8,4.25,3.0,4.0,4.0,4.0,2010,3.7750000000000004,-13.0"
"Table 19,2017,39,5.8,19,51,3.0,1.95,2.9,0.95,2.55,2.0,3.0,1.0,2.5,2010,2.0875,-19.0"
"Teenage Mutant Ninja Turtles: Out of the Shadows,2016,40,6.0,38,48,4.0,2.0,3.0,1.9,2.4,2.0,3.0,2.0,2.5,2010,2.325,-20.0"
"The 5th Wave,2016,33,5.2,16,38,3.5,1.65,2.6,0.8,1.9,1.5,2.5,1.0,2.0,2010,1.7374999999999998,-19.0"
"The 9th Life of Louis Drax,2016,41,6.3,40,34,3.5,2.05,3.15,2.0,1.7,2.0,3.0,2.0,1.5,2010,2.2249999999999996,-22.0"
"The Accountant,2016,51,7.4,51,78,4.5,2.55,3.7,2.55,3.9,2.5,3.5,2.5,4.0,2010,3.1750000000000003,-23.0"
"The Angry Birds Movie,2016,43,6.3,43,47,4.0,2.15,3.15,2.15,2.35,2.0,3.0,2.0,2.5,2010,2.4499999999999997,-20.0"
"The Autopsy of Jane Doe,2016,64,6.8,84,71,4.5,3.2,3.4,4.2,3.55,3.0,3.5,4.0,3.5,2010,3.5875000000000004,-4.0"
"The BFG,2016,66,6.4,75,58,4.0,3.3,3.2,3.75,2.9,3.5,3.0,4.0,3.0,2010,3.2875,2.0"
"The Boss,2016,40,5.4,22,39,3.5,2.0,2.7,1.1,1.95,2.0,2.5,1.0,2.0,2010,1.9375000000000002,-14.0"
"The Boy,2016,42,6.0,27,39,3.5,2.1,3.0,1.35,1.95,2.0,3.0,1.5,2.0,2010,2.0999999999999996,-18.0"
"The Brothers Grimsby,2016,44,6.2,37,41,3.5,2.2,3.1,1.85,2.05,2.0,3.0,2.0,2.0,2010,2.3,-18.0"
"The Bye Bye Man,2017,37,3.8,23,27,3.0,1.85,1.9,1.15,1.35,2.0,2.0,1.0,1.5,2010,1.5625,-1.0"
"The Choice,2016,26,6.6,12,62,4.0,1.3,3.3,0.6,3.1,1.5,3.5,0.5,3.0,2010,2.0749999999999997,-40.0"
"The Confirmation,2016,65,6.4,91,55,4.5,3.25,3.2,4.55,2.75,3.0,3.0,4.5,3.0,2010,3.4375,1.0"
"The Conjuring 2,2016,65,7.4,80,82,4.5,3.25,3.7,4.0,4.1,3.0,3.5,4.0,4.0,2010,3.7624999999999997,-9.0"
"The Darkness,2016,27,4.3,4,20,2.5,1.35,2.15,0.2,1.0,1.5,2.0,0.0,1.0,2010,1.175,-16.0"
"The Disappointments Room,2016,31,3.9,0,18,2.5,1.55,1.95,0.0,0.9,1.5,2.0,0.0,1.0,2010,1.1,-8.0"
"The Duel,2016,42,5.7,22,30,3.5,2.1,2.85,1.1,1.5,2.0,3.0,1.0,1.5,2010,1.8875000000000002,-15.0"
"The Edge of Seventeen,2016,77,7.5,95,84,4.0,3.85,3.75,4.75,4.2,4.0,4.0,5.0,4.0,2010,4.1375,2.0"
"The Finest Hours,2016,58,6.8,63,66,4.0,2.9,3.4,3.15,3.3,3.0,3.5,3.0,3.5,2010,3.1875,-10.0"
"The Forest,2016,34,4.8,10,22,3.0,1.7,2.4,0.5,1.1,1.5,2.5,0.5,1.0,2010,1.4249999999999998,-14.0"
"The Founder,2016,66,7.2,83,81,4.0,3.3,3.6,4.15,4.05,3.5,3.5,4.0,4.0,2010,3.7750000000000004,-6.0"
"The Girl on the Train,2016,48,6.5,44,50,4.0,2.4,3.25,2.2,2.5,2.5,3.0,2.0,2.5,2010,2.5875000000000004,-17.0"
"The Girl with All the Gifts,2016,67,6.7,84,67,4.0,3.35,3.35,4.2,3.35,3.5,3.5,4.0,3.5,2010,3.5625,0.0"
"The Great Wall,2016,42,6.2,35,51,4.0,2.1,3.1,1.75,2.55,2.0,3.0,2.0,2.5,2010,2.375,-20.0"
"The Huntsman: Winter's War,2016,35,6.1,17,46,4.0,1.75,3.05,0.85,2.3,2.0,3.0,1.0,2.5,2010,1.9874999999999998,-26.0"
"The Infiltrator,2016,66,7.1,69,72,4.0,3.3,3.55,3.45,3.6,3.5,3.5,3.5,3.5,2010,3.475,-5.0"
"The Jungle Book,2016,77,7.5,95,87,4.5,3.85,3.75,4.75,4.35,4.0,4.0,5.0,4.5,2010,4.175,2.0"
"The Last Word,2017,41,6.7,35,56,3.5,2.05,3.35,1.75,2.8,2.0,3.5,2.0,3.0,2010,2.4875,-26.0"
"The Legend of Tarzan,2016,44,6.3,36,60,4.5,2.2,3.15,1.8,3.0,2.0,3.0,2.0,3.0,2010,2.5374999999999996,-19.0"
"The LEGO Batman Movie,2017,75,7.6,91,83,4.5,3.75,3.8,4.55,4.15,4.0,4.0,4.5,4.0,2010,4.0625,-1.0"
"The Light Between Oceans,2016,60,7.2,59,62,4.0,3.0,3.6,2.95,3.1,3.0,3.5,3.0,3.0,2010,3.1625,-12.0"
"The Magnificent Seven,2016,54,7.0,63,73,4.5,2.7,3.5,3.15,3.65,2.5,3.5,3.0,3.5,2010,3.25,-16.0"
"The Neon Demon,2016,51,6.3,57,52,3.5,2.55,3.15,2.85,2.6,2.5,3.0,3.0,2.5,2010,2.7874999999999996,-12.0"
"The Nice Guys,2016,70,7.4,92,79,3.5,3.5,3.7,4.6,3.95,3.5,3.5,4.5,4.0,2010,3.9375,-4.0"
"The Other Side of the Door,2016,41,5.3,39,30,3.5,2.05,2.65,1.95,1.5,2.0,2.5,2.0,1.5,2010,2.0374999999999996,-12.0"
"The Perfect Match,2016,41,4.8,27,45,4.0,2.05,2.4,1.35,2.25,2.0,2.5,1.5,2.0,2010,2.0124999999999997,-7.0"
"The Purge: Election Year,2016,55,6.0,54,49,4.0,2.75,3.0,2.7,2.45,3.0,3.0,2.5,2.5,2010,2.7249999999999996,-5.0"
"The Secret Life of Pets,2016,61,6.6,74,63,4.0,3.05,3.3,3.7,3.15,3.0,3.5,3.5,3.0,2010,3.3000000000000003,-5.0"
"The Shack,2017,32,6.7,21,86,4.5,1.6,3.35,1.05,4.3,1.5,3.5,1.0,4.5,2010,2.575,-35.0"
"The Shallows,2016,59,6.4,78,60,4.0,2.95,3.2,3.9,3.0,3.0,3.0,4.0,3.0,2010,3.2625,-5.0"
"The Space Between Us,2017,33,6.3,17,64,4.0,1.65,3.15,0.85,3.2,1.5,3.0,1.0,3.0,2010,2.2125,-30.0"
"The Take (Bastille Day),2016,48,6.3,46,43,4.0,2.4,3.15,2.3,2.15,2.5,3.0,2.5,2.0,2010,2.5,-15.0"
"The Whole Truth,2016,46,6.1,29,33,3.0,2.3,3.05,1.45,1.65,2.5,3.0,1.5,1.5,2010,2.1125,-15.0"
"The Wild Life,2016,36,5.3,15,28,3.0,1.8,2.65,0.75,1.4,2.0,2.5,1.0,1.5,2010,1.65,-17.0"
"Triple 9,2016,52,6.3,52,42,3.5,2.6,3.15,2.6,2.1,2.5,3.0,2.5,2.0,2010,2.6125,-11.0"
"Trolls,2016,56,6.5,74,69,4.5,2.8,3.25,3.7,3.45,3.0,3.0,3.5,3.5,2010,3.3,-9.0"
"Under the Shadow,2016,84,7.0,98,76,4.0,4.2,3.5,4.9,3.8,4.0,3.5,5.0,4.0,2010,4.1000000000000005,14.0"
"Underworld: Blood Wars,2016,23,5.9,17,55,4.0,1.15,2.95,0.85,2.75,1.0,3.0,1.0,3.0,2010,1.9249999999999998,-36.0"
"War Dogs,2016,57,7.1,60,70,4.0,2.85,3.55,3.0,3.5,3.0,3.5,3.0,3.5,2010,3.225,-14.0"
"War on Everyone,2016,50,5.9,56,41,4.0,2.5,2.95,2.8,2.05,2.5,3.0,3.0,2.0,2010,2.575,-9.0"
"Warcraft,2016,32,7.0,28,71,4.0,1.6,3.5,1.4,3.55,1.5,3.5,1.5,3.5,2010,2.5125,-38.0"
"Whiskey Tango Foxtrot,2016,57,6.6,67,55,3.5,2.85,3.3,3.35,2.75,3.0,3.5,3.5,3.0,2010,3.0625,-9.0"
"Why Him?,2016,39,6.4,40,57,4.0,1.95,3.2,2.0,2.85,2.0,3.0,2.0,3.0,2010,2.5,-25.0"
"X-Men: Apocalypse,2016,52,7.1,48,67,4.0,2.6,3.55,2.4,3.35,2.5,3.5,2.5,3.5,2010,2.975,-19.0"
"XX,2017,64,4.7,71,17,3.0,3.2,2.35,3.55,0.85,3.0,2.5,3.5,1.0,2010,2.4875000000000003,17.0"
"xXx: Return of Xander Cage,2017,42,5.4,43,45,4.0,2.1,2.7,2.15,2.25,2.0,2.5,2.0,2.0,2010,2.3000000000000003,-12.0"
"Zoolander 2,2016,34,4.8,23,21,2.5,1.7,2.4,1.15,1.05,1.5,2.5,1.0,1.0,2010,1.575,-14.0"
"Zootopia,2016,78,8.1,98,92,4.5,3.9,4.05,4.9,4.6,4.0,4.0,5.0,4.5,2010,4.3625,-3.0"
